                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3458,                 2.3101,                 4.1041,                 1.5202,                0.34015,                   0.95,                0.48719,                 0.3182,                    0.8,                    0.4,                0.70518,                0.35975,                 0.6735,                0.93296,                 11.193,                 1.0079,                0.00014,                0.00014,                0.00014
                      2,                0.79845,                0.96731,                 2.4635,                 1.0677,                 0.5481,                    0.7,                0.53716,                0.46302,                0.81642,                0.88984,                0.88933,                0.45171,                0.53584,                0.74586,                 3.9263,                0.87337,              0.0002901,              0.0002901,              0.0002901
                      3,                0.71264,                0.64374,                  1.076,                 1.0225,                0.84092,                   0.95,                0.93603,                0.85763,                0.84092,                   0.95,                0.93603,                0.75113,                0.51936,                0.73477,                 2.3049,                0.85562,             0.00042964,             0.00042964,             0.00042964
                      4,                 0.7044,                0.72067,                0.87333,                0.98968,                0.56875,                      1,                0.73632,                 0.6219,                0.56875,                      1,                0.73632,                0.54214,                0.61556,                0.94414,                 1.6432,                0.95809,             0.00055862,             0.00055862,             0.00055862
                      5,                 0.7308,                 0.7515,                0.75318,                0.98113,                   0.76,                   0.95,                 0.8185,                0.67674,                   0.76,                   0.95,                 0.8185,                0.54432,                0.75111,                 2.7355,                 7.7677,                 1.2229,             0.00067704,             0.00067704,             0.00067704
                      6,                0.75357,                0.80944,                0.76734,                 1.0192,                0.08108,                    0.6,                0.10735,                0.08176,                0.08108,                    0.6,                0.10942,                0.07513,                0.76863,                 2.5629,                 30.374,                  1.106,              0.0007849,              0.0007849,              0.0007849
                      7,                0.76053,                0.82502,                0.76398,                0.97382,                0.75607,                   0.95,                0.84905,                 0.5655,                0.81591,                   0.95,                0.85645,                  0.519,                 1.0913,                  3.179,                  4.159,                 1.2791,              0.0008822,              0.0008822,              0.0008822
                      8,                0.70696,                 0.6426,                0.63821,                0.97305,                0.75607,                   0.95,                0.84905,                 0.5655,                0.81591,                   0.95,                0.85645,                  0.519,                 4.2225,                 35.044,                 14.062,                 13.704,             0.00096894,             0.00096894,             0.00096894
                      9,                0.70344,                0.68219,                0.61343,                0.94853,                0.57709,                    0.9,                0.74521,                0.54859,                0.83333,                    0.5,                0.50821,                0.41604,                0.78096,                  3.178,                 5.7426,                 1.0359,              0.0010451,              0.0010451,              0.0010451
                     10,                0.66174,                0.55399,                0.58626,                 0.9342,                0.69029,                   0.95,                0.94635,                0.78711,                0.69029,                   0.95,                0.94841,                0.79237,                0.62786,                0.87637,                 5.3126,                0.91691,              0.0011107,              0.0011107,              0.0011107
                     11,                0.67327,                 0.5268,                0.63259,                 0.9621,                0.93705,                0.74456,                 0.7309,                0.62058,                0.93705,                0.74456,                0.72924,                0.49208,                0.77058,                 1.6949,                 1.9226,                 1.0929,              0.0011658,              0.0011658,              0.0011658
                     12,                0.73308,                0.58176,                0.63184,                0.96328,                0.74277,                   0.75,                0.74005,                 0.5152,                0.74277,                   0.75,                0.74005,                0.49466,                0.84458,                0.83575,                 2.3725,                 1.0349,              0.0012103,              0.0012103,              0.0012103
                     13,                0.67286,                0.54443,                0.60092,                 0.9544,                0.32728,                    0.6,                0.42604,                0.34808,                0.32728,                    0.6,                0.42604,                 0.3194,                 1.2248,                 2.4631,                 2.6742,                 1.4184,               0.001208,               0.001208,               0.001208
                     14,                0.68689,                 0.5663,                0.59565,                0.95102,                0.82123,                   0.25,                0.33501,                0.25664,                0.35245,                    0.4,                0.38324,                0.25275,                 1.5715,                 1.1771,                 3.2672,                 1.5656,               0.001208,               0.001208,               0.001208
                     15,                0.69256,                0.60389,                0.58248,                0.94926,                0.08682,                    0.3,                0.07077,                0.02871,                 0.0017,                   0.15,                0.00107,                 0.0002,                 2.0606,                 3.3455,                 6.9529,                 2.0507,               0.001142,               0.001142,               0.001142
